,Unnamed: 0,Unnamed: 0.1,Band,Species,Sex,First adult year,Last Year,Weight (g),Wing (mm),Tarsus (mm),Beak Length (mm),Beak Depth (mm),Beak Width (mm)
0,0,0,9,Geospiza fortis,unknown,1975,1977,14.5,67,18,9.2,8.3,8.1
1,1,1,12,Geospiza fortis,female,1975,1977,13.5,66,18.3,9.5,7.5,7.5
2,2,2,276,Geospiza fortis,unknown,1976,1977,16.44,64.19,18.47,9.93,8,7.6
3,3,3,278,Geospiza fortis,unknown,1976,1977,18.54,67.19,19.27,11.13,10.6,9.4
4,4,4,283,Geospiza fortis,male,1976,1977,17.44,70.19,19.27,12.13,11.2,9.5
5,5,5,288,Geospiza fortis,unknown,1976,1977,16.34,71.19,20.27,10.63,9.1,8.8
6,6,6,293,Geospiza fortis,unknown,1976,1977,15.74,67.19,17.57,9.93,9.5,8.9
7,7,7,294,Geospiza fortis,unknown,1976,1977,16.84,68.19,18.17,11.33,10.5,9.1
8,8,8,298,Geospiza fortis,male,1976,1977,15.54,68.19,18.57,9.93,8.4,8.2
9,9,9,307,Geospiza fortis,male,1975,1977,17.5,70,20,11.1,8.6,8.4
10,10,10,311,Geospiza fortis,unknown,1975,1977,15,67,18.4,10.8,9.2,8.5
11,11,11,315,Geospiza fortis,unknown,1975,1977,17,70,19.9,9.7,8.8,8.7
12,12,12,321,Geospiza fortis,unknown,1975,1977,15,66,19.1,10.6,8.5,8.1
13,13,13,342,Geospiza fortis,female,1975,1977,15,66,18.4,9.6,8,8.7
